sample_id,block_id,sensor_id,task_id,A_theta,A_route,local_score,bs1_score,bs2_score,best_offload_score,theta_true_gap,route_true_gap,offload_active_mask,theta_sign_match,route_sign_match,actual_theta_decision,actual_route_decision,theta_decision_match,route_decision_match,theta_true_gap_bucket,A_theta_bucket
28,15,5,0,0.7816102504730225,-1.8661621809005737,-0.5251044631004333,-0.7423765659332275,-0.7436907291412354,-0.7423765659332275,-0.2172721028327942,0.0013141632080078125,1,0,False,1,1,0,False,"(-0.268, -0.211]","(0.275, 2.946]"
28,16,5,1,0.21843373775482178,-0.5965430736541748,-0.5277930498123169,-0.7685120105743408,-0.7435811758041382,-0.7435811758041382,-0.2157881259918213,-0.024930834770202637,0,0,,0,0,1,,"(-0.268, -0.211]","(0.0677, 0.275]"
28,17,5,2,0.5213479995727539,1.1474329233169556,-0.4163581132888794,-0.5369172096252441,-0.5287609696388245,-0.5287609696388245,-0.11240285634994507,-0.008156239986419678,0,0,,0,1,1,,"(-0.128, 0.0263]","(0.275, 2.946]"
28,18,6,0,1.5070505142211914,-0.2426522970199585,-0.4367234408855438,-0.6251612901687622,-0.62647545337677,-0.6251612901687622,-0.18843784928321838,0.0013141632080078125,1,0,False,1,0,0,True,"(-0.211, -0.171]","(0.275, 2.946]"
28,19,6,1,0.4027695655822754,-1.3542098999023438,-0.688921332359314,-0.9147694110870361,-0.8898385763168335,-0.8898385763168335,-0.20091724395751953,-0.024930834770202637,0,0,,0,1,1,,"(-0.211, -0.171]","(0.275, 2.946]"
28,20,6,2,0.45548927783966064,0.15785524249076843,-0.6035642027854919,-0.7274252772331238,-0.7192690372467041,-0.7192690372467041,-0.11570483446121216,-0.008156239986419678,0,0,,0,0,1,,"(-0.128, 0.0263]","(0.275, 2.946]"
28,21,7,0,-0.464526504278183,1.096508264541626,-0.4294678866863251,-0.6821202039718628,-0.6834343075752258,-0.6821202039718628,-0.2526523172855377,0.0013141036033630371,0,1,,0,1,1,,"(-0.268, -0.211]","(-2.7889999999999997, -0.291]"
28,22,7,1,0.9314036965370178,0.9511889219284058,-0.27930957078933716,-0.5554255247116089,-0.5304946303367615,-0.5304946303367615,-0.2511850595474243,-0.024930894374847412,0,0,,0,0,1,,"(-0.268, -0.211]","(0.275, 2.946]"
28,23,7,2,-0.6836108565330505,1.2881555557250977,-0.6118491888046265,-0.7910225987434387,-0.782866358757019,-0.782866358757019,-0.17101716995239258,-0.008156239986419678,0,1,,0,1,1,,"(-0.171, -0.128]","(-2.7889999999999997, -0.291]"
29,0,0,0,0.08789712190628052,0.029426872730255127,-0.5772260427474976,-0.8077009916305542,-0.8095593452453613,-0.8077009916305542,-0.23047494888305664,0.001858353614807129,1,0,True,1,0,0,True,"(-0.268, -0.211]","(0.0677, 0.275]"
29,1,0,1,0.01621856540441513,-0.01242510974407196,-0.18235787749290466,-0.25698474049568176,-0.2679460048675537,-0.25698474049568176,-0.0746268630027771,0.010961264371871948,0,0,,0,1,1,,"(-0.128, 0.0263]","(-0.0766, 0.0677]"
29,2,0,2,0.15042749047279358,0.08011086285114288,-0.18918316066265106,-0.2388601303100586,-0.24227787554264069,-0.2388601303100586,-0.04967696964740753,0.0034177452325820923,1,0,True,1,1,0,False,"(-0.128, 0.0263]","(0.0677, 0.275]"
29,3,1,0,0.12974631786346436,-0.19663545489311218,-0.6624589562416077,-0.9059308171272278,-0.9077891707420349,-0.9059308171272278,-0.24347186088562012,0.001858353614807129,1,0,False,1,1,0,False,"(-0.268, -0.211]","(0.0677, 0.275]"
29,4,1,1,-0.17151381075382233,-0.016240566968917847,-0.2972570061683655,-0.41928407549858093,-0.4302453398704529,-0.41928407549858093,-0.12202706933021545,0.010961264371871948,1,1,False,1,1,0,False,"(-0.128, 0.0263]","(-0.291, -0.0766]"
29,5,1,2,-0.10155203193426132,0.009829729795455933,-0.085201196372509,-0.12947066128253937,-0.13288840651512146,-0.12947066128253937,-0.044269464910030365,0.0034177452325820923,1,1,True,1,1,0,False,"(-0.128, 0.0263]","(-0.291, -0.0766]"
29,6,2,0,0.23454724252223969,-0.23954367637634277,-0.02762436866760254,-0.24791675806045532,-0.24977511167526245,-0.24791675806045532,-0.22029238939285278,0.001858353614807129,1,0,False,1,1,0,False,"(-0.268, -0.211]","(0.0677, 0.275]"
29,7,2,1,-0.07752470672130585,0.052052974700927734,-0.48931434750556946,-0.5638743042945862,-0.5748355388641357,-0.5638743042945862,-0.07455995678901672,0.01096123456954956,1,1,True,1,0,0,True,"(-0.128, 0.0263]","(-0.291, -0.0766]"
29,8,2,2,-0.26080089807510376,-0.11932212114334106,-0.26485955715179443,-0.28248071670532227,-0.28589847683906555,-0.28248071670532227,-0.017621159553527832,0.003417760133743286,1,1,False,1,1,0,False,"(-0.128, 0.0263]","(-0.291, -0.0766]"
