mode,epoch,update_epoch,minibatch_id,route_step_index_within_epoch,offload_active_count,offload_active_fraction,route_logprob_active_fraction,route_effective_advantage_mean,route_effective_advantage_std,route_loss,route_old_logprob_mean,route_new_logprob_mean,route_ratio_mean,route_approx_kl_precheck,route_clip_fraction_precheck,bare_route_head_grad_norm,bare_route_backbone_grad_norm,route_step_blocked_by_trust_region,route_step_blocked_by_coupled_stop,route_step_blocked_by_other_guard,optimizer_step_executed,route_param_delta_norm,counted_into_route_update_count,counted_route_head_grad_norm,counted_route_backbone_grad_norm,theta_step_happened_before_this_route_step,theta_param_delta_norm_before_route_step
hierarchical_actor_true_conditional_route_candidate_score_credit,0,5,20,22,383,0.4986979067325592,0.4986979067325592,-0.024541376158595085,0.9607665538787842,0.003831950481981039,-0.6717244982719421,-0.6841449737548828,0.9966795444488525,0.012420492246747017,0.06788511574268341,0.11072303088587518,0.06626038504018299,0.0,0.0,0.0,1.0,0.038635306835055325,1.0,0.11072303088587518,0.06626038504018299,1.0,0.03711405979313063
hierarchical_actor_true_conditional_route_candidate_score_credit,0,5,21,23,392,0.5104166865348816,0.5104166865348816,-0.0867377296090126,0.974299967288971,0.039029769599437714,-0.6715742349624634,-0.6995285749435425,0.981623113155365,0.027954358607530594,0.09438775479793549,0.14948775235669914,0.0909435484528137,0.0,0.0,0.0,1.0,0.0343154200578835,1.0,0.14948775235669914,0.0909435484528137,1.0,0.034541257073039004
hierarchical_actor_true_conditional_route_candidate_score_credit,0,5,22,24,401,0.5221354365348816,0.5221354365348816,0.04350593686103821,0.9815505146980286,-0.04442388191819191,-0.6771003007888794,-0.7027260065078735,0.9833179116249084,0.025625741109251976,0.08229426294565201,0.08966462181520976,0.06464140394136275,0.0,0.0,0.0,1.0,0.03287486129666098,1.0,0.08966462181520976,0.06464140394136275,1.0,0.03326692336912852
hierarchical_actor_true_conditional_route_candidate_score_credit,0,5,23,25,49,0.5104166865348816,0.5104166865348816,-0.03236420452594757,0.9706564545631409,0.06587803363800049,-0.664716899394989,-0.6663804054260254,1.0076721906661987,0.0016635071951895952,0.06122449040412903,0.30258381317082944,0.18041223145929006,0.0,0.0,0.0,1.0,0.044487714584804286,1.0,0.30258381317082944,0.18041223145929006,1.0,0.037760200667791614
hierarchical_actor_true_conditional_route_candidate_score_credit,0,6,24,26,399,0.51953125,0.51953125,-0.07782258838415146,0.9747564792633057,0.06426243484020233,-0.6713681221008301,-0.6938130259513855,0.9857103824615479,0.022444909438490868,0.04010025039315224,0.07164036071254866,0.047484047281439255,0.0,0.0,0.0,1.0,0.040207457615608524,1.0,0.07164036071254866,0.047484047281439255,1.0,0.03551942436532402
hierarchical_actor_true_conditional_route_candidate_score_credit,0,6,25,27,398,0.5182291865348816,0.5182291865348816,0.06737682223320007,0.9779186248779297,-0.08362496644258499,-0.6748649477958679,-0.6912980079650879,0.9912941455841064,0.016432972624897957,0.032663315534591675,0.07614316399910921,0.05100109770197642,0.0,0.0,0.0,1.0,0.037095567929393884,1.0,0.07614316399910921,0.05100109770197642,1.0,0.035045794852645834
hierarchical_actor_true_conditional_route_candidate_score_credit,0,6,26,28,377,0.4908854067325592,0.4908854067325592,-0.05392330512404442,0.9598944783210754,0.01939997263252735,-0.672203004360199,-0.6917034387588501,0.9876677989959717,0.019500406458973885,0.01326259970664978,0.09763283350316364,0.060961016727059,0.0,0.0,0.0,1.0,0.033910060757525035,1.0,0.09763283350316364,0.060961016727059,1.0,0.03000963358669752
hierarchical_actor_true_conditional_route_candidate_score_credit,0,6,27,29,51,0.53125,0.53125,-0.05835655331611633,0.9857447147369385,0.010895083658397198,-0.6808471083641052,-0.6992548108100891,0.9889438152313232,0.018407706171274185,0.0,0.2634235049216726,0.1823627252322687,0.0,0.0,0.0,1.0,0.045032178272532634,1.0,0.2634235049216726,0.1823627252322687,1.0,0.041204774853780594
hierarchical_actor_true_conditional_route_candidate_score_credit,0,7,28,30,379,0.4934895932674408,0.4934895932674408,-0.006395988631993532,0.9610530138015747,-0.02977745234966278,-0.6727635264396667,-0.6976557374000549,0.9832320213317871,0.02489231340587139,0.047493401914834976,0.10815486447987865,0.0768805820104429,0.0,0.0,0.0,1.0,0.046437627543664046,1.0,0.10815486447987865,0.0768805820104429,1.0,0.037691928031904694
hierarchical_actor_true_conditional_route_candidate_score_credit,0,7,29,31,393,0.51171875,0.51171875,0.009227379225194454,0.9811712503433228,-0.0314817950129509,-0.6749846935272217,-0.6931635141372681,0.9903666377067566,0.018178805708885193,0.08396946638822556,0.09182687671460307,0.062227579760725425,0.0,0.0,0.0,1.0,0.03985687145331423,1.0,0.09182687671460307,0.062227579760725425,1.0,0.03293503936550874
