telemetry_step,train_epoch,update_epoch,minibatch_id,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_soft_geometry_scale_factor_mean,backbone_soft_geometry_scale_factor_p50,backbone_soft_geometry_scale_factor_p95,backbone_soft_geometry_scale_factor_min,backbone_soft_geometry_trigger_active_fraction,backbone_soft_geometry_overflow_stat_mean,backbone_soft_geometry_overflow_stat_p95
71,1,7,31,0.04819133185763703,78848,0,0.0,244238.90625,1255305.25,6604980.5,18953874.0,244238.90625,1255305.25,6604980.5,18953874.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
72,1,8,32,0.04114832567156291,78848,0,0.0,243878.859375,1254634.625,6648732.0,18940244.0,243878.859375,1254634.625,6648732.0,18940244.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
73,1,8,33,0.04449065786150508,78848,0,0.0,241937.96875,1239905.75,6617459.0,18983632.0,241937.96875,1239905.75,6617459.0,18983632.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
74,1,8,34,0.045436013761392544,78848,0,0.0,242415.765625,1243175.0,6517767.0,19090260.0,242415.765625,1243175.0,6517767.0,19090260.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
75,1,8,35,0.04866254953439859,78848,0,0.0,240552.59375,1246841.5,6484925.0,18628226.0,240552.59375,1246841.5,6484925.0,18628226.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
76,1,9,36,0.053225027868837885,78848,0,0.0,240849.328125,1253256.1249999958,6523913.0,18551772.0,240849.328125,1253256.1249999958,6523913.0,18551772.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
77,1,9,37,0.05690694935678257,78848,0,0.0,239079.765625,1237686.625,6392149.5,18652800.0,239079.765625,1237686.625,6392149.5,18652800.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
78,1,9,38,0.05517124371753078,78848,0,0.0,237696.828125,1245568.5,6305686.909999945,18523370.0,237696.828125,1245568.5,6305686.909999945,18523370.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
79,1,9,39,0.05404206644190779,78848,0,0.0,236743.40625,1221230.0,6221973.0,17727222.0,236743.40625,1221230.0,6221973.0,17727222.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
80,2,0,0,0.04829148982039215,78848,0,0.0,234086.28125,1210671.25,6205691.0,17714070.0,234086.28125,1210671.25,6205691.0,17714070.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
