telemetry_step,train_epoch,update_epoch,minibatch_id,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_soft_geometry_scale_factor_mean,backbone_soft_geometry_scale_factor_p50,backbone_soft_geometry_scale_factor_p95,backbone_soft_geometry_scale_factor_min,backbone_soft_geometry_trigger_active_fraction,backbone_soft_geometry_overflow_stat_mean,backbone_soft_geometry_overflow_stat_p95
71,1,0,1,0.04266019235784685,76800,0,0.0,259869.40625,553888.75,7366135.5,47014260.0,259869.40625,553888.75,7366135.5,47014260.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
72,1,0,2,0.049143196895269206,76800,0,0.0,257557.890625,548668.9375,7256300.5,47171740.0,257557.890625,548668.9375,7256300.5,47171740.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
73,1,0,3,0.05346415320586131,76800,0,0.0,255753.96875,549686.6875,7232087.5,47086816.0,255753.96875,549686.6875,7232087.5,47086816.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
74,1,0,4,0.05090488686230071,76800,0,0.0,256681.09375,552191.75,7243854.5,47258852.0,256681.09375,552191.75,7243854.5,47258852.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
75,1,0,5,0.04810091970932119,76800,0,0.0,257814.296875,555329.0,7254523.0,47427744.0,257814.296875,555329.0,7254523.0,47427744.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
76,1,0,6,0.04809693753232023,76800,0,0.0,258105.953125,557371.5,7220493.0,47593340.0,258105.953125,557371.5,7220493.0,47593340.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
77,1,1,7,0.04582899389738767,76800,0,0.0,259328.046875,560768.9375,7245511.0,47746752.0,259328.046875,560768.9375,7245511.0,47746752.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
78,1,1,8,0.04495068089350967,76800,0,0.0,260197.765625,563519.8125,7276004.5,47880008.0,260197.765625,563519.8125,7276004.5,47880008.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
79,1,1,9,0.043025210174651,76800,0,0.0,261479.625,566310.125,7316764.0,48011476.0,261479.625,566310.125,7316764.0,48011476.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
80,1,1,10,0.041096522591528774,76800,0,0.0,262616.21875,568263.25,7360076.0,48170156.0,262616.21875,568263.25,7360076.0,48170156.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
81,1,1,11,0.03874397559232377,76800,0,0.0,263900.46875,571054.25,7398627.5,48329644.0,263900.46875,571054.25,7398627.5,48329644.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
82,1,1,12,0.03759701657713839,76800,0,0.0,265159.125,573643.0,7441878.0,48440704.0,265159.125,573643.0,7441878.0,48440704.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
83,1,1,13,0.035639634883948126,76800,0,0.0,266549.25,576959.1875,7484829.5,48594464.0,266549.25,576959.1875,7484829.5,48594464.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
84,1,2,14,0.03501145813414556,76800,0,0.0,267884.96875,580286.25,7524857.5,48739720.0,267884.96875,580286.25,7524857.5,48739720.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
85,1,2,15,0.03423245999553204,76800,0,0.0,268908.84375,581969.1875,7567356.5,48740144.0,268908.84375,581969.1875,7567356.5,48740144.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
86,1,2,16,0.03476472060815696,76800,0,0.0,270203.125,585204.0625,7609647.0,48876424.0,270203.125,585204.0625,7609647.0,48876424.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
87,1,2,17,0.033626684607081785,76800,0,0.0,271179.0625,587854.8125,7648706.5,48944664.0,271179.0625,587854.8125,7648706.5,48944664.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
88,1,2,18,0.03336241074086505,76800,0,0.0,272535.625,591311.0625,7689469.5,49091168.0,272535.625,591311.0625,7689469.5,49091168.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
89,1,2,19,0.032575351544828914,76800,0,0.0,273700.09375,594057.125,7731029.5,49200516.0,273700.09375,594057.125,7731029.5,49200516.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
90,1,2,20,0.03106929571191168,76800,0,0.0,275031.0625,597321.9375,7772219.5,49342724.0,275031.0625,597321.9375,7772219.5,49342724.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
91,1,3,21,0.030061041413902014,76800,0,0.0,276302.9375,600384.6875,7811306.0,49480268.0,276302.9375,600384.6875,7811306.0,49480268.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
92,1,3,22,0.03197463218102983,76800,0,0.0,277605.09375,603771.0,7851709.0,49600680.0,277605.09375,603771.0,7851709.0,49600680.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
93,1,3,23,0.03601594779394266,76800,0,0.0,278526.96875,605770.875,7892127.0,49536244.0,278526.96875,605770.875,7892127.0,49536244.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
94,1,3,24,0.03639280157705207,76800,0,0.0,279313.125,607379.0,7932274.5,49610204.0,279313.125,607379.0,7932274.5,49610204.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
95,1,3,25,0.03431336418990021,76800,0,0.0,280284.21875,608786.6875,7964476.5,49682020.0,280284.21875,608786.6875,7964476.5,49682020.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
96,1,3,26,0.0327856232576745,76800,0,0.0,281562.90625,611987.0625,7992524.5,49817864.0,281562.90625,611987.0625,7992524.5,49817864.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
